"","subj","sex","MOTedu","MOTwork6","MOTwork18","MOTworkhours6","MOTworkhours18","FATwork6","FATwork18","FATworkhours","HouseholdIncome18","HouseholdIncome6","MOTedulevel","siblings","family_size","CDI","CDIcomp","noCDI","CDInouns","CHItokens","CHItypes","Log.CDI","Log.CDIcomp","Log.CDInouns","Log.Tokens","Log.Types","age_mom","PVTscore","caretype","outlier.CDI","outlier.CDIcomp","outlier.types","outlier.tokens"
"1",794,"F","Masters Degree","Part-time","Full-time",24,30,"Full-time","Full-time",50,124999,124999,5,1,4,372,376,FALSE,222,206,58,5.92157841964382,5.93224518744801,5.40717177146012,5.33271879326537,4.07753744390572,33,119.5,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"2",294,"M","Masters Degree","Home","Part-time",0,NA,"Full-time","Full-time",40,74999,74999,5,1,4,184,315,FALSE,132,84,18,5.22035582507832,5.75574221358691,4.89034912822175,4.44265125649032,2.94443897916644,33,116.4,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"3",126,"M","Bachelors Degree","Home","Home",0,0,"Full-time","Full-time",40,54999,54999,4,1,4,27,270,FALSE,9,18,2,3.3322045101752,5.6021188208797,2.30258509299405,2.94443897916644,1.09861228866811,32,108.5,"Home-only",FALSE,FALSE,FALSE,FALSE
"4",255,"M","Some college","Home","Home",0,0,"Full-time","Full-time",40,74999,74999,2,4,7,5,273,FALSE,0,0,0,1.79175946922805,5.61312810638807,0,0,0,35,117.2,"Home-only",FALSE,FALSE,FALSE,FALSE
"5",828,"F","Doctorate","Part-time","Part-time",24,24,"Full-time","Full-time",60,125000,125000,6,1,4,48,173,FALSE,27,38,5,3.89182029811063,5.15905529921453,3.3322045101752,3.66356164612965,1.79175946922805,32,112.8,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"6",749,"M","Assoc Degree","Home","Part-time",0,20,"Full-time","Full-time",40,74999,74999,3,0,3,120,326,FALSE,76,173,18,4.79579054559674,5.78996017089725,4.34380542185368,5.15905529921453,2.94443897916644,35,106.6,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"7",279,"F","Bachelors Degree","Home","Home",0,0,"Full-time","Full-time",45,99999,99999,4,1,4,38,246,FALSE,13,55,12,3.66356164612965,5.50938833662798,2.63905732961526,4.02535169073515,2.56494935746154,37,111.4,"Home-only",FALSE,FALSE,FALSE,FALSE
"8",626,"M","Bachelors Degree","Home","Home",0,0,"Full-time","Full-time",50,124999,124999,4,2,5,NA,NA,TRUE,NA,5,1,NA,NA,NA,1.79175946922805,0.693147180559945,42,116.1,"Home-only",NA,NA,FALSE,FALSE
"9",129,"F","Masters Degree","Home","Home",0,0,"Full-time","Full-time",40,99999,99999,5,1,4,43,271,FALSE,22,18,11,3.78418963391826,5.605802066296,3.13549421592915,2.94443897916644,2.484906649788,35,119.2,"Home-only",FALSE,FALSE,FALSE,FALSE
"10",378,"F","Bachelors Degree","Part-time","Part-time",6,6,"Full-time","Full-time",40,NA,NA,4,0,3,189,270,FALSE,136,255,58,5.24702407216049,5.6021188208797,4.91998092582813,5.54517744447956,4.07753744390572,28,120.1,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"11",109,"F","Assoc Degree","Home","Part-time",0,25,"Full-time","Home",0,28999,28999,3,0,3,82,262,FALSE,53,94,16,4.4188406077966,5.57215403217776,3.98898404656427,4.55387689160054,2.83321334405622,29,105.5,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"12",268,"F","Bachelors Degree","Part-time","Part-time",21,21,"Full-time","Full-time",40,99999,NA,4,0,3,75,287,FALSE,39,13,8,4.33073334028633,5.66296048013595,3.68887945411394,2.63905732961526,2.19722457733622,35,110.8,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"13",189,"M","Bachelors Degree","Part-time","Part-time",20,20,"Part-time","Full-time",40,99999,74999,4,0,3,77,301,FALSE,40,23,4,4.35670882668959,5.71042701737487,3.71357206670431,3.17805383034795,1.6094379124341,27,106,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"14",986,"F","Assoc Degree","Part-time","Part-time",16,16,"Full-time","Full-time",40,99999,99999,3,1,4,42,342,FALSE,21,16,7,3.76120011569356,5.83773044716594,3.09104245335832,2.83321334405622,2.07944154167984,31,106.5,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"15",625,"F","Masters Degree","Home","Full-time",0,40,"Full-time","Full-time",40,124999,124999,5,0,3,NA,NA,TRUE,NA,86,14,NA,NA,NA,4.46590811865458,2.70805020110221,32,108.6,"Mixed-care",NA,NA,FALSE,FALSE
"16",738,"M","Masters Degree","Home","Home",0,0,"Full-time","Full-time",50,124999,99999,5,0,3,20,257,FALSE,11,107,12,3.04452243772342,5.55295958492162,2.484906649788,4.68213122712422,2.56494935746154,35,111.8,"Home-only",FALSE,FALSE,FALSE,FALSE
"17",639,"F","Some college","Home","Home",0,0,"Full-time","Full-time",40,99999,99999,2,0,3,4,185,FALSE,2,7,5,1.6094379124341,5.2257466737132,1.09861228866811,2.07944154167984,1.79175946922805,34,126.7,"Home-only",FALSE,FALSE,FALSE,FALSE
"18",168,"F","Masters Degree","Part-time","Full-time",6,40,"Full-time","Full-time",50,125000,125000,5,3,6,1,105,FALSE,1,8,2,0.693147180559945,4.66343909411207,0.693147180559945,2.19722457733622,1.09861228866811,37,122.7,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"19",737,"M","Bachelors Degree","Home","Home",0,0,"Full-time","Full-time",40,74999,74999,4,1,4,27,341,FALSE,17,8,4,3.3322045101752,5.8348107370626,2.89037175789616,2.19722457733622,1.6094379124341,31,113.9,"Home-only",FALSE,FALSE,FALSE,FALSE
