"","subj","sex","MOTedu","MOTwork6","MOTwork18","MOTworkhours6","MOTworkhours18","FATwork6","FATwork18","FATworkhours","HouseholdIncome18","HouseholdIncome6","MOTedulevel","siblings","family_size","CDI","CDIcomp","noCDI","CDInouns","CHItokens","CHItypes","Log.CDI","Log.CDIcomp","Log.CDInouns","Log.Tokens","Log.Types","age_mom","PVTscore","caretype","outlier.CDI","outlier.CDIcomp","outlier.types","outlier.tokens"
"1",126,"M","Bachelors Degree","Home","Home",0,0,"Full-time","Full-time",40,54999,54999,4,1,4,27,270,FALSE,9,18,2,3.3322045101752,5.6021188208797,2.30258509299405,2.94443897916644,1.09861228866811,32,108.5,"Home-only",FALSE,FALSE,FALSE,FALSE
"2",255,"M","Some college","Home","Home",0,0,"Full-time","Full-time",40,74999,74999,2,4,7,5,273,FALSE,0,0,0,1.79175946922805,5.61312810638807,0,0,0,35,117.2,"Home-only",FALSE,FALSE,FALSE,FALSE
"3",465,"F","Masters Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,99999,99999,5,1,4,26,213,FALSE,15,76,11,3.29583686600433,5.36597601502185,2.77258872223978,4.34380542185368,2.484906649788,33,120.4,"Care-only",FALSE,FALSE,FALSE,FALSE
"4",357,"M","Masters Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,124999,124999,5,0,3,33,384,FALSE,12,1,1,3.52636052461616,5.95324333428778,2.56494935746154,0.693147180559945,0.693147180559945,30,114.4,"Care-only",FALSE,FALSE,FALSE,FALSE
"5",521,"F","Masters Degree","Full-time","Full-time",40,40,"Home","Home",NA,54999,54999,5,0,3,191,316,FALSE,124,154,54,5.25749537202778,5.75890177387728,4.8283137373023,5.04342511691925,4.00733318523247,32,118.6,"Care-only",FALSE,FALSE,FALSE,FALSE
"6",274,"M","Bachelors Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,99999,99999,4,0,3,63,330,FALSE,23,19,2,4.15888308335967,5.80211837537706,3.17805383034795,2.99573227355399,1.09861228866811,34,110.9,"Care-only",FALSE,FALSE,FALSE,FALSE
"7",309,"M","Masters Degree","Full-time","Full-time",30,30,"Full-time","Full-time",40,74999,74999,5,0,3,20,250,FALSE,9,1,1,3.04452243772342,5.52545293913178,2.30258509299405,0.693147180559945,0.693147180559945,31,116.1,"Care-only",FALSE,FALSE,FALSE,FALSE
"8",623,"M","Doctorate","Full-time","Full-time",30,30,"Full-time","Full-time",50,125000,125000,6,2,5,24,302,FALSE,17,5,2,3.2188758248682,5.71373280550937,2.89037175789616,1.79175946922805,1.09861228866811,36,123.6,"Care-only",FALSE,FALSE,FALSE,FALSE
"9",279,"F","Bachelors Degree","Home","Home",0,0,"Full-time","Full-time",45,99999,99999,4,1,4,38,246,FALSE,13,55,12,3.66356164612965,5.50938833662798,2.63905732961526,4.02535169073515,2.56494935746154,37,111.4,"Home-only",FALSE,FALSE,FALSE,FALSE
"10",626,"M","Bachelors Degree","Home","Home",0,0,"Full-time","Full-time",50,124999,124999,4,2,5,NA,NA,TRUE,NA,5,1,NA,NA,NA,1.79175946922805,0.693147180559945,42,116.1,"Home-only",NA,NA,FALSE,FALSE
"11",664,"M","Masters Degree","Full-time","Full-time",40,40,"Full-time","Full-time",60,125000,125000,5,0,3,16,230,FALSE,9,10,3,2.83321334405622,5.44241771052179,2.30258509299405,2.39789527279837,1.38629436111989,34,112.8,"Care-only",FALSE,FALSE,FALSE,FALSE
"12",129,"F","Masters Degree","Home","Home",0,0,"Full-time","Full-time",40,99999,99999,5,1,4,43,271,FALSE,22,18,11,3.78418963391826,5.605802066296,3.13549421592915,2.94443897916644,2.484906649788,35,119.2,"Home-only",FALSE,FALSE,FALSE,FALSE
"13",860,"M","Assoc Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,125000,125000,3,1,4,69,296,FALSE,43,8,3,4.24849524204936,5.6937321388027,3.78418963391826,2.19722457733622,1.38629436111989,37,117.1,"Care-only",FALSE,FALSE,FALSE,FALSE
"14",342,"M","Masters Degree","Full-time","Full-time",30,30,"Full-time","Full-time",50,125000,125000,5,0,3,42,298,FALSE,18,5,3,3.76120011569356,5.70044357339069,2.94443897916644,1.79175946922805,1.38629436111989,33,111.4,"Care-only",FALSE,FALSE,FALSE,FALSE
