subj,sex,MOTedu,MOTwork6,MOTwork18,MOTworkhours6,MOTworkhours18,FATwork6,FATwork18,FATworkhours,HouseholdIncome18,HouseholdIncome6,MOTedulevel,siblings,family_size,CDI,CDIcomp,noCDI,CDInouns,CHItokens,CHItypes,Log.CDI,Log.CDIcomp,Log.CDInouns,Log.Tokens,Log.Types,age_mom,PVTscore,caretype
794,F,Masters Degree,Part-time,Full-time,24,30,Full-time,Full-time,50,124999,124999,5,1,4,372,376,FALSE,222,206,58,5.921578419643816,5.932245187448011,5.407171771460119,5.332718793265369,4.07753744390572,33,119.5,Mixed-care
294,M,Masters Degree,Home,Part-time,0,NA,Full-time,Full-time,40,74999,74999,5,1,4,184,315,FALSE,132,84,18,5.220355825078324,5.755742213586912,4.890349128221754,4.442651256490317,2.9444389791664403,33,116.4,Mixed-care
126,M,Bachelors Degree,Home,Home,0,0,Full-time,Full-time,40,54999,54999,4,1,4,27,270,FALSE,9,18,2,3.332204510175204,5.602118820879701,2.302585092994046,2.9444389791664403,1.0986122886681098,32,108.5,Home-only
255,M,Some college,Home,Home,0,0,Full-time,Full-time,40,74999,74999,2,4,7,5,273,FALSE,0,0,0,1.791759469228055,5.6131281063880705,0,0,0,35,117.2,Home-only
465,F,Masters Degree,Full-time,Full-time,40,40,Full-time,Full-time,40,99999,99999,5,1,4,26,213,FALSE,15,76,11,3.295836866004329,5.365976015021851,2.772588722239781,4.343805421853684,2.4849066497880004,33,120.4,Care-only
357,M,Masters Degree,Full-time,Full-time,40,40,Full-time,Full-time,40,124999,124999,5,0,3,33,384,FALSE,12,1,1,3.5263605246161616,5.953243334287785,2.5649493574615367,0.6931471805599453,0.6931471805599453,30,114.4,Care-only
521,F,Masters Degree,Full-time,Full-time,40,40,Home,Home,NA,54999,54999,5,0,3,191,316,FALSE,124,154,54,5.2574953720277815,5.75890177387728,4.8283137373023015,5.043425116919247,4.007333185232471,32,118.6,Care-only
274,M,Bachelors Degree,Full-time,Full-time,40,40,Full-time,Full-time,40,99999,99999,4,0,3,63,330,FALSE,23,19,2,4.1588830833596715,5.802118375377063,3.1780538303479458,2.995732273553991,1.0986122886681098,34,110.9,Care-only
828,F,Doctorate,Part-time,Part-time,24,24,Full-time,Full-time,60,125e3,125e3,6,1,4,48,173,FALSE,27,38,5,3.8918202981106265,5.159055299214529,3.332204510175204,3.6635616461296463,1.791759469228055,32,112.8,Mixed-care
309,M,Masters Degree,Full-time,Full-time,30,30,Full-time,Full-time,40,74999,74999,5,0,3,20,250,FALSE,9,1,1,3.044522437723423,5.5254529391317835,2.302585092994046,0.6931471805599453,0.6931471805599453,31,116.1,Care-only
